2194|6508907|1|90616|9|90616|1||1|0|0|0|null|80000|2194_90616||2194|1|||;
2205|6315816|2|90616|9|90616|1||1|0|0|0|null|80000|2205_90616||2205|1|||
2205|6398481|1|90616|9|90616|1||1|0|0|0|null|80000|2205_90616||2205|1|||;
10110|6315816|2|90616|9|90616|1||1|0|0|0|null|80000|10110_90616||10110|1|||;
10672|6315816|15|90616|9|90616|1||1|0|0|0|null|80000|10672_90616||10672|1|||
10672|6530554|1|90616|9|90616|1||1|0|0|0|null|80000|10672_90616||10672|1|||;
10768|6508907|1|90616|9|90616|1||1|0|0|0|null|80000|10768_90616||10768|1|||;
12482|6315816|1|90616|9|90616|1||1|0|0|0|null|80000|12482_90616||12482|1|||
12482|6398481|1|90616|9|90616|1||1|0|0|0|null|80000|12482_90616||12482|1|||
12482|6501068|1|90616|9|90616|1||1|0|0|0|null|80000|12482_90616||12482|1|||;
15165|6512594|1|90616|9|90616|1||1|0|0|0|null|80000|15165_90616||15165|1|||;
16037|6315816|1|90616|9|90616|1||1|0|0|0|null|80000|16037_90616||16037|1|||;
16077|6512594|2|90616|9|90616|1||1|0|0|0|null|80000|16077_90616||16077|1|||;
17169|6398481|1|90616|9|90616|1||1|0|0|0|null|80000|17169_90616||17169|1|||;
17455|6315816|2|90616|9|90616|1||1|0|0|0|null|80000|17455_90616||17455|1|||
17455|6512594|1|90616|9|90616|1||1|0|0|0|null|80000|17455_90616||17455|1|||;
